% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes	delay	stdDev	min	max	PduSize	stdDev	min	max
0	0.25	1	1	1	1	1	29	0	0	0	0	0	0	0	0	0	0	
0	0.25	1	1	1	3	21	22134	21	22134	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
0.25	0.5	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
0.5	0.75	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
0.75	1	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
1	1.25	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
1.25	1.5	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
1.5	1.75	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
1.75	2	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
2	2.25	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
2.25	2.5	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
2.5	2.75	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
2.75	3	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
3	3.25	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
3.25	3.5	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
3.5	3.75	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
3.75	4	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
4	4.25	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
4.25	4.5	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
4.5	4.75	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
4.75	5	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
5	5.25	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
5.25	5.5	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
5.5	5.75	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
5.75	6	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
6	6.25	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
6.25	6.5	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
6.5	6.75	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
6.75	7	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
7	7.25	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
7.25	7.5	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
7.5	7.75	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
7.75	8	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
8	8.25	1	1	1	3	25	26350	25	26350	0.000883995	0	0.000883995	0.000883995	1054	0	1054	1054	
